Tipo;Ano;Qualis;Autor Principal;Título do Artigo;Periódico/Evento;Aut.Total;Aut.Prof;Aut.Dout;Aut.Mestr;Aut.Grad;Autores - Nomes;PPGC
Periódico;2013;A1;Marcus Rolf Peter Ritt;A heuristic and a branch-and-bound algorithm for the assembly line worker assignment and balancing problem;Computers and Operations Research;2;1;0;0;0;"BORBA, LEONARDO; Marcus Rolf Peter Ritt";Sim
Periódico;2013;-;Liane Margarida Rockenbach Tarouco;A interoperação com repositórios digitais: protocolos e exemplos;Ciência da Informação (Online);4;1;0;0;0;"Alessandra Pereira Rodrigues; Liane Margarida Rockenbach Tarouco; Marcelo Augusto Rauh Schmitt; Silvio Cesar Cazella";Sim
Conferência;2013;A2;Márcio Dorn;A knowledge-based genetic algorithm to predict three-dimensional structures of polypeptides;IEEE Congress on Evolutionary Computation;4;2;0;0;0;"Márcio Dorn; INOSTROZA-PONTA, MARIO; BURIOL, LUCIANA S.; VERLI, HUGO";Sim
Conferência;2013;A2;Luciana Salete Buriol;A knowledge-based genetic algorithm to predict three-dimensional structures of polypeptides;IEEE Congress on Evolutionary Computation;4;2;0;0;0;"DORN, MARCIO; INOSTROZA-PONTA, MARIO; Luciana Salete Buriol; VERLI, HUGO";Sim
Conferência;2013;A1;Dieison Soares Silveira;A lossless approach for external memory bandwidth reduction in video coding systems and its VLSI architecture;IEEE International Conference on Multimedia and Expo;3;1;0;0;0;"Dieison Soares Silveira; Marcelo Schiavon Porto; AGOSTINI, LUCIANO";Sim
Conferência;2013;A2;Liane Margarida Rockenbach Tarouco;A Management by Delegation Smart Object Aware System Applied to the Internet of Things;Annual International Computer Software and Applications Conference;5;2;0;0;0;"Marcelo Marotta; Felipe Carbone; Santanna, José Jair; Granville, Lisandro Z.; Liane Margarida Rockenbach Tarouco";Sim
Conferência;2013;A1;Lisandro Zambenedetti Granville;A mashup ecosystem for network management situations;IEEE Global Telecommunications Conference;3;1;0;0;0;"RENDON, OSCAR MAURICIO CAICEDO; ESTRADA-SOLANO, FELIPE; Lisandro Zambenedetti Granville";Sim
Conferência;2013;A2;Lisandro Zambenedetti Granville;A Mashup-based Approach for Virtual SDN Management;Annual International Computer Software and Applications Conference;3;1;0;0;0;"Oscar Maurício Caicedo Rendón; Carlos Felipe Estrada Solano; Lisandro Zambenedetti Granville";Sim
Conferência;2013;B1;Andre Inacio Reis;A methodology to evaluate the aging impact on flip-flops performance;Symposium on Integrated Circuits and Systems Design;4;2;0;0;0;"Cícero Nunes; Paulo Francisco Butzen; Andre Inacio Reis; RIBAS, RENATO P.";Sim
Conferência;2013;-;Ana Lucia Cetertich Bazzan;A Methodology to Evaluate the Optimization Potential of Co-ordinated Vehicular Route Choices;GI/ITG KuVS Fachgespräch Inter-Vehicle Communication;3;1;0;0;0;"Daniel Cagara; Bjoern Scheuermann; Ana Lucia Cetertich Bazzan";Sim
